id	sent	text
417	1.0	И сново доброе утро 🎧🎶
249	1.0	Жалкие попытки испортить мне настроение провалились и это прекрасно~🍹+🍝+☕️+🍰+👭👫👬+🐈+🎮+🎧=✨💜✨
2666	0.0	Доброе утро ☀️ https://t.co/CDwogtacbM
1287	1.0	споки-ноки❣️🎧🌜 https://t.co/92Wdaq16d3
40947	3.0	@KpopPea_ @KPOPlum @AlinaLi1317 @vkoookiee @HobiHopeHosoc @sugar_margaret @xxKate95 @suetkina @DiksiKpop… https://t.co/mgBJduGldq
532	7.0	СТО. ВАС УЖЕ СТО! Спасибо за такую цифру❤️ Люблю каждого💓 살인해 https://t.co/G83x6UysNU
25075	3.0	@NKTdoronin @Bukatnikova_S А к утру уже всю инфу сольют😭Надежда на сопкаст и пиратскую сопку баттла,ну вдруг с футболом же прокатывает.
3402	7.0	Новый шедевр от Сэма Смита🙏🏻 Этот человек убивает меня❤️ https://t.co/iP1Etz8IT8
2390	7.0	@nasyana9 Люблю ❤️❤️❤️
2897	7.0	RT @Kuej9JPxvAx4SCz: В Корее уже 7 октября,  наступил День Рождения единарожка всея EXO🦄💕 🎉С Днем Рождения Лэй🎉     ❤️~Мы тебя любим~❤️ #HA…
899	1.0	ханк приложенияннан ырыа качайдыахха собуй бесплатно???🤔🎧
1442	7.0	@ZoranZobanjac Да❤️
2492	5.0	Самое ужасное это улыбаться, когда на самом деле хочется задушиться 😔
6668	5.0	@KateHaral Это просто осень такая 😔 Все будет хорошо💞💞💞💞
1072	9.0	Святой Стив 🙏🏻 надеюсь восстановление через itunes поможет , одно радует - я лично не потратил не копейки на этот айфон 😁
235	1.0	Я тот самый человек, который вовремя не обновил вк и до сих пор слушает и сохраняет музыку бесплатно🎧🎶
676	1.0	Прости, если я был не прав Не жди, ведь ссора - лишь пустяк  Поверь, во сто крат я буду сильней  Если нужно так🎧🎼
3572	5.0	@Anastasia_1834  Красивая😌 Добрая😻 Давно не видела тебя😞 Лично не общаемся😔
4211	7.0	Купить себе книги , как смысл жизни ❤️😂📚
680	0.0	Солнышко, которое мне светит ☀️
3639	0.0	@dead_m27 С твои днём, солнышко ♥️☀️
38040	3.0	@Motolko Теперь всей информации: кирдык.Она ж без министра и министерства существрвать не сможет 😭
1085	0.0	Парк Маршалково 👍💦❤️🍁🌾☀️😎🍂🐿💚 https://t.co/hvcV5yXXsM
3567	7.0	RT @_BuuBear_: Люди выходили в слезах. Гарри делает очень многое для лгбт. На его концертах они чувствуют принятие безопасность и море любв…
2492	0.0	RT @Gelya_miss: РИТУЛЕЧКА, С ТВОИМ ДНЕЕЕЕМ😍🔥🔥🔥🔥 ВСЕГО ТЕБЕ☀️💕💕💕💕💕💕💕 (А ЕЩЕ Я НЕ ПОНИМАЮ ПОЧЕМУ У НАС С ТОБОЙ НЕТ НОРМАЛЬНЫХ ФОТО) https://t…
44146	3.0	@1nyuton @Shumtaka_ табрик учун рахмат шарчалар эртага учмай қўяди 😭😭😭😂😂😂
31281	3.0	Как же не хочется уезжать из дома😭😭
15909	3.0	@erkewa29 По твоим рассказам там все такие неопрятные 😭😭
3338	9.0	когда тебе 21 и ты все ещё в клубе неудачников 🎈(спасибище, @zadrotnick 🙏🏻❤️) https://t.co/e2Zzkc2tRX
3448	0.0	RT @belka_111: Живы и слава богу ♥️  @ColdSiemens спасибо ☀️
3923	7.0	Самая лучшая параллель😻❤️ https://t.co/fJacquUs57
764	0.0	RT @G494E: Хорошее настроение!!!😘😍🍁🌺🌻🌹🌞☀️✨ https://t.co/TtTni4E4FK
954	1.0	🎧✨Понравился альбом https://t.co/udUuP9wIWJ
2799	5.0	Изменения в графике — отмена концерта 😔  Выступление в Ноябрьске отменяется по техн. причинам. Билеты вы можете сда… https://t.co/9WgjnMa81Y
418	0.0	RT @prevozmogai: слава: мирон янович, окси, мироша, оксимироша, оксимирошкин. я: ☺️🌸✨☀️🌈💕💖🌠🍭🌷🙏🏻
1037	9.0	Иркутск. Приютите кто-нибудь к себе на ночь🙏🏻
882	9.0	RT @ian_tanya: Пусть каждый луганчанин встретит того, по ком скучает. Пусть каждый, тоскующий по родному дому, вернётся в Луганск🙏🏻 https:/…
6713	3.0	"бля ну почему под песню ""секс наркотики"" так реветь хочется 😭 реально каждый раз слёзы накатываются"
1736	3.0	Ну принесите мне кто-нибудь яблоко а мне уже плохо без них 😭😭😭
273	1.0	даже здесь я слышу этот запах сирени, который тебя сделал красным небом весенним🚀🎧
697	9.0	Надеюсь эти выходные я не проебу 😭🙏🏻
3666	7.0	@harryinlove02 @It__your__dream @youngdirik23 @harry_orange_ @5sos_1d_shawn @seaour210 @1D_NH_69 @_raccoo_n… https://t.co/ZtoLY3fJJE
9677	6.0	Как в один миг все планы могут пойти в жопу 😤😡
4386	6.0	шо-то как-то рано мне начали сегодня написувать как жаль, что мне некому послать такую фотографию😡😡 https://t.co/18dGiIgsHK
8546	6.0	@cactus_soo да ну тебя блин😡
10898	5.0	RT @777jeka775: Это пиздец кaк обидно, когда пeрeступaeшь чeрeз гордость,  пишешь, а человек  не отвечает на твои  сообщения😔
240	1.0	Я просто не знала, что можно так слететь.  Со всех петель, со всех, да-да...  🎧🔂
2293	9.0	RT @sakhaya27: Якутск!Найден лабрадор на авторынке(беременная).3й день ночует на улице😭🤧Может найдется для бедняжки хозяин?  Тел :891427164…
1360	0.0	Доброе утро,отличного дня и хорошего настроения☀️💛Первая пара прошла(физра),теперь домой еду,потом к 13 только на пары💋
1412	7.0	Россия–Беларусь💙❤️ https://t.co/iMi3u3so9L
2774	7.0	RT @Aju_Stalker: Будь счастлив наш единорожек 🦄❤️ Мы ждём тебя и очень любим🙆🏼❤️🙆🏼  #HAPPYLAYDAY  #HappyYixingDay  #엑소 #레이 #장이씽 #EXO #LAY h…
402	8.0	@kotik_kanek Ты меня тоже не любишь 💔💔💔💔💔 (Хорошо я буду ждать)
9736	5.0	@jolywhite Засветил 325р - мажор Бабуля на зимний куртец 100 по 100 дала😔
3937	9.0	@let_it_die__ Приятной поездки и хороших выходных ❤️🙏🏻😘
424	1.0	RT @viktorinini: @NkViktori42 @K2644 @valeriazolota @_L_Boss 🎷@NkViktori42  🎻🎷@K2644  🎤🎸🎷@valeriazolota  🎧🎤🎸🎷@_L_Boss 🎤🎸🎷 Mузыки 🎸🎷Желаю 🎷В…
12762	8.0	Сколько не пересматриваю каждый раз простите теку💔💔💔 Ну что за женщины @sooffitlee @gold_horizon 💔💔💔 https://t.co/nUhbW2UNKX
8501	5.0	RT @SV55294286: Ребяяят!Помогите ретвитом🙏🏼😔 https://t.co/xdBySCm282
2796	0.0	RT @Katharin_Aurora: @Dew21Lana @faithtrusthope7 @AlexaThirel @Nataliya_Le @Pavelulybkin @MarekStpie4 @CristinPereyra @Eagleeye47 @Martinet…
3805	0.0	В какую погоду ты чувствуешь себя наиболее комфортно? — В солнечную ☀️ https://t.co/c6zYcR0HOV
9051	6.0	RT @galina_galinka_: 😡😡😡Убили-химию,физику, биологию, географию, чем 12 лет занимать детей?В начале историей УПА, а потом маршировать и т.д…
1033	1.0	Крч, когда я не в духе в моих 🎧 играет Slim
3695	5.0	RT @kveniamina: все сгорело у нас на глазах 😔 #rt https://t.co/b5VxZc8MnL
2379	5.0	@StevePrince001 Да...😔
34975	3.0	Цитируя великих, работать в воскресенье - это пиздец 😭
4161	9.0	RT @e_enkule: УИХ-ын гишүүн З.Нарантуяагийн зургийг зөвшөөрөлгүйгээр өөрийн үйл ажиллагаандаа ашиглаж байгаа @batbayrenhtuya г РЕПОРТ хийнэ…
10631	6.0	RT @ShadenFM: Как они любят на одного толпой, да ещё исподтишка, гадёныши😡 https://t.co/rbeQ50hi1z
8172	8.0	@HHHuligan 😭💔 хочу выпить!!!
599	0.0	RT @MahiMarianna: Пусть осень радует во всех проявлениях!🍁 Всем доброе утро и отличного дня!😊☀️ https://t.co/YjHyTaDH2x
1223	1.0	"Видео ""Топ-5 вакуумных Bluetooth-наушников до $100 🎧 Какие выбрать? |"
3251	9.0	Это просто трэш, а не день Простите кого втянули, ради Бога😂😂🙏🏻
443	0.0	RT @MahiMarianna: Пусть осень радует во всех проявлениях!🍁 Всем доброе утро и отличного дня!😊☀️ https://t.co/YjHyTaDH2x
6853	6.0	RT @oksanaylia1: Американская паранойя: ведущая MSNBC Рэйчел Мэддоу обвиняет Россию во вмешательстве в дела стран по всему миру. 😠 Кривляки…
3258	6.0	Куда ты прешься в 8 утра с младенцем если ты не умеешь водить?! Права сюда дай 😡
160	1.0	Хотел написать сегодня все но пока тишина. Послушаю музыку 🎧
